Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
InternetGatewayDevice.DeviceInfo.ProcessStatus.CPUUsage,false,2023-03-28T15:39:56.053Z,false,2023-03-28T15:39:56.053Z,"1",xsd:unsignedInt,2023-03-28T15:39:56.057Z,,,,
InternetGatewayDevice.DeviceInfo.ProcessStatus.ProcessNumberOfEntries,false,2023-03-28T15:39:56.053Z,false,2023-03-28T15:39:56.053Z,"84",xsd:unsignedInt,2023-03-28T15:39:56.057Z,,,,
InternetGatewayDevice.DeviceInfo.ProductClass,false,2023-03-28T15:39:56.053Z,false,2023-03-28T15:39:56.053Z,"ZXHNH199Z",xsd:string,2023-03-28T15:39:56.055Z,,,,
InternetGatewayDevice.DeviceInfo.ProvisioningCode,false,2023-03-28T15:39:56.053Z,true,2023-03-28T15:39:56.053Z,"ZXHNH199Z",xsd:string,2023-03-28T15:39:56.054Z,,,,
InternetGatewayDevice.DeviceInfo.SerialNumber,false,2023-03-28T15:39:56.053Z,false,2023-03-28T15:39:56.053Z,"ZTEYH86LCN20202",xsd:string,2023-03-28T15:39:56.055Z,,,,
InternetGatewayDevice.DeviceInfo.SoftwareVersion,false,2023-03-28T15:39:56.053Z,false,2023-03-28T15:39:56.053Z,"V9.1.0P4N3_MUL",xsd:string,2023-03-28T15:39:56.054Z,,,,
InternetGatewayDevice.DeviceInfo.SpecVersion,false,2023-03-28T15:39:56.053Z,false,2023-03-28T15:39:56.053Z,"9.1",xsd:string,2023-03-28T15:39:56.054Z,,,,
InternetGatewayDevice.DeviceInfo.TemperatureStatus,true,2023-03-28T15:39:56.053Z,false,2023-03-28T15:39:56.053Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.TemperatureStatus.TemperatureSensor,true,2023-03-28T15:39:56.053Z,false,2023-03-28T15:39:56.053Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.TemperatureStatus.TemperatureSensor.1,true,2023-03-28T15:39:56.053Z,false,2023-03-28T15:39:56.053Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.TemperatureStatus.TemperatureSensor.1.MaxValue,false,2023-03-28T15:39:56.053Z,false,2023-03-28T15:39:56.053Z,"41",xsd:unsignedInt,2023-03-28T15:39:56.057Z,,,,
InternetGatewayDevice.DeviceInfo.TemperatureStatus.TemperatureSensor.1.MinValue,false,2023-03-28T15:39:56.053Z,false,2023-03-28T15:39:56.053Z,"41",xsd:unsignedInt,2023-03-28T15:39:56.057Z,,,,
InternetGatewayDevice.DeviceInfo.TemperatureStatus.TemperatureSensor.1.Name,false,2023-03-28T15:39:56.053Z,false,2023-03-28T15:39:56.053Z,"CPU",xsd:string,2023-03-28T15:39:56.057Z,,,,
InternetGatewayDevice.DeviceInfo.TemperatureStatus.TemperatureSensor.1.ResetTime,false,2023-03-28T15:39:56.053Z,false,2023-03-28T15:39:56.053Z,"2471",xsd:unsignedLong,2023-03-28T15:39:56.057Z,,,,
InternetGatewayDevice.DeviceInfo.TemperatureStatus.TemperatureSensor.1.Status,false,2023-03-28T15:39:56.053Z,false,2023-03-28T15:39:56.053Z,"Enable",xsd:string,2023-03-28T15:39:56.057Z,,,,
InternetGatewayDevice.DeviceInfo.TemperatureStatus.TemperatureSensor.1.Value,false,2023-03-28T15:39:56.053Z,false,2023-03-28T15:39:56.053Z,"41",xsd:unsignedInt,2023-03-28T15:39:56.057Z,,,,
InternetGatewayDevice.DeviceInfo.UpTime,false,2023-03-28T15:39:56.053Z,false,2023-03-28T15:39:56.053Z,"2468",xsd:unsignedInt,2023-03-28T15:39:56.055Z,,,,
InternetGatewayDevice.DeviceInfo.X_ZTE-COM_ALMAC,false,2023-03-28T15:39:56.053Z,false,2023-03-28T15:39:56.053Z,"c0:b1:01:31:71:6e",xsd:string,2023-03-28T15:39:56.055Z,,,,
InternetGatewayDevice.DeviceInfo.X_ZTE-COM_Alias,false,2023-03-28T15:39:56.053Z,true,2023-03-28T15:39:56.053Z,"ZTE:ZXHNH199Z",xsd:string,2023-03-28T15:39:56.055Z,,,,
InternetGatewayDevice.DeviceInfo.X_ZTE-COM_IPv6Enabled,false,2023-03-28T15:39:56.053Z,true,2023-03-28T15:39:56.053Z,"true",xsd:boolean,2023-03-28T15:39:56.055Z,,,,
InternetGatewayDevice.DeviceInfo.X_ZTE-COM_Remotelog,true,2023-03-28T15:39:56.053Z,false,2023-03-28T15:39:56.053Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_ZTE-COM_Remotelog.Enable,false,2023-03-28T15:39:56.053Z,true,2023-03-28T15:39:56.053Z,"false",xsd:boolean,2023-03-28T15:39:56.057Z,,,,
InternetGatewayDevice.DeviceInfo.X_ZTE-COM_Remotelog.LogServer,false,2023-03-28T15:39:56.053Z,true,2023-03-28T15:39:56.053Z,"0.0.0.0",xsd:string,2023-03-28T15:39:56.057Z,,,,
InternetGatewayDevice.DeviceInfo.X_ZTE-COM_Securitylog,true,2023-03-28T15:39:56.053Z,false,2023-03-28T15:39:56.053Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_ZTE-COM_Securitylog.Enable,false,2023-03-28T15:39:56.053Z,true,2023-03-28T15:39:56.053Z,"false",xsd:boolean,2023-03-28T15:39:56.057Z,,,,
InternetGatewayDevice.DeviceInfo.X_ZTE-COM_Syslog,true,2023-03-28T15:39:56.053Z,false,2023-03-28T15:39:56.053Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_ZTE-COM_Syslog.Enable,false,2023-03-28T15:39:56.053Z,true,2023-03-28T15:39:56.053Z,"false",xsd:boolean,2023-03-28T15:39:56.057Z,,,,
InternetGatewayDevice.DeviceInfo.X_ZTE-COM_Syslog.Level,false,2023-03-28T15:39:56.053Z,true,2023-03-28T15:39:56.053Z,"3",xsd:string,2023-03-28T15:39:56.057Z,,,,
InternetGatewayDevice.DeviceSummary,false,2023-03-28T15:39:56.053Z,false,2023-03-28T15:39:56.053Z,"InternetGatewayDevice:1.4[](Baseline:1,EthernetLAN:1,WiFiLAN:1,EthernetWAN:1,Time:1,IPPing:1)",xsd:string,2023-03-28T15:39:56.054Z,,,,
InternetGatewayDevice.DownloadDiagnostics,true,2023-03-28T15:39:56.053Z,false,2023-03-28T15:39:56.053Z,"",,,,,,
InternetGatewayDevice.DownloadDiagnostics.BOMTime,false,2023-03-28T15:39:56.053Z,false,2023-03-28T15:39:56.053Z,"",xsd:dateTime,2023-03-28T15:39:56.057Z,,,,
InternetGatewayDevice.DownloadDiagnostics.DSCP,false,2023-03-28T15:39:56.053Z,true,2023-03-28T15:39:56.053Z,"0",xsd:unsignedInt,2023-03-28T15:39:56.057Z,,,,
InternetGatewayDevice.DownloadDiagnostics.DiagnosticsState,false,2023-03-28T15:39:56.053Z,true,2023-03-28T15:39:56.053Z,"None",xsd:string,2023-03-28T15:39:56.057Z,,,,
