Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
InternetGatewayDevice.DNS.Diagnostics.NSLookupDiagnostics.HostName,false,2023-03-28T15:42:30.057Z,true,2023-03-28T15:42:30.057Z,"",xsd:string,2023-03-28T15:42:30.061Z,,,,
InternetGatewayDevice.DNS.Diagnostics.NSLookupDiagnostics.Interface,false,2023-03-28T15:42:30.057Z,true,2023-03-28T15:42:30.057Z,"",xsd:string,2023-03-28T15:42:30.061Z,,,,
InternetGatewayDevice.DNS.Diagnostics.NSLookupDiagnostics.NumberOfRepetitions,false,2023-03-28T15:42:30.057Z,true,2023-03-28T15:42:30.057Z,"5",xsd:unsignedInt,2023-03-28T15:42:30.061Z,,,,
InternetGatewayDevice.DNS.Diagnostics.NSLookupDiagnostics.Result,true,2023-03-28T15:42:30.057Z,true,2023-03-28T15:42:30.057Z,"",,,,,,
InternetGatewayDevice.DNS.Diagnostics.NSLookupDiagnostics.ResultNumberOfEntries,false,2023-03-28T15:42:30.057Z,false,2023-03-28T15:42:30.057Z,"0",xsd:unsignedInt,2023-03-28T15:42:30.061Z,,,,
InternetGatewayDevice.DNS.Diagnostics.NSLookupDiagnostics.SuccessCount,false,2023-03-28T15:42:30.057Z,false,2023-03-28T15:42:30.057Z,"0",xsd:unsignedInt,2023-03-28T15:42:30.061Z,,,,
InternetGatewayDevice.DNS.Diagnostics.NSLookupDiagnostics.Timeout,false,2023-03-28T15:42:30.057Z,true,2023-03-28T15:42:30.057Z,"5000",xsd:unsignedInt,2023-03-28T15:42:30.061Z,,,,
InternetGatewayDevice.DeviceConfig,true,2023-03-28T15:42:30.057Z,false,2023-03-28T15:42:30.057Z,"",,,,,,
InternetGatewayDevice.DeviceConfig.ConfigFile,false,2023-03-28T15:42:30.057Z,true,2023-03-28T15:42:30.057Z,"FILE OVER SIZE",xsd:string,2023-03-28T15:42:30.061Z,,,,
InternetGatewayDevice.DeviceConfig.PersistentData,false,2023-03-28T15:42:30.057Z,true,2023-03-28T15:42:30.057Z,"CURRENT CONFIG",xsd:string,2023-03-28T15:42:30.061Z,,,,
InternetGatewayDevice.DeviceConfig.X_HW_ConfigEncryptionKey,false,2023-03-28T15:42:30.057Z,true,2023-03-28T15:42:30.057Z,"",xsd:string,2023-03-28T15:42:30.061Z,,,,
InternetGatewayDevice.DeviceInfo,true,2023-03-28T15:42:30.057Z,true,2023-03-28T15:42:30.057Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.AccessType,false,2023-03-28T15:42:30.057Z,false,2023-03-28T15:42:30.057Z,"Gpon",xsd:string,2023-03-28T15:42:30.059Z,,,,
InternetGatewayDevice.DeviceInfo.AdditionalHardwareVersion,false,2023-03-28T15:42:30.057Z,false,2023-03-28T15:42:30.057Z,"",xsd:string,2023-03-28T15:42:30.059Z,,,,
InternetGatewayDevice.DeviceInfo.AdditionalSoftwareVersion,false,2023-03-28T15:42:30.057Z,false,2023-03-28T15:42:30.057Z,"2017.07",xsd:string,2023-03-28T15:42:30.059Z,,,,
InternetGatewayDevice.DeviceInfo.Description,false,2023-03-28T15:42:30.057Z,false,2023-03-28T15:42:30.057Z,"EchoLife EG8145V5 GPON Terminal (CLASS B+/PRODUCT ID:2150083734LDM3009654/CHIP:00000020210205)",xsd:string,2023-03-28T15:42:30.059Z,,,,
