Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
InternetGatewayDevice.DeviceInfo.ProvisioningCode,false,2023-05-25T22:10:55.893Z,true,2023-05-25T22:10:55.893Z,"",xsd:string,2023-05-25T22:11:26.170Z,,,,
InternetGatewayDevice.DeviceInfo.SerialNumber,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"22282X5007025",xsd:string,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.DeviceInfo.SoftwareVersion,false,2023-05-25T22:10:55.893Z,true,2023-05-25T22:10:55.893Z,"3.16.0 0.9.1 v6055.0 Build 220706 Rel.79244n",xsd:string,2023-05-25T22:11:26.170Z,,,,
InternetGatewayDevice.DeviceInfo.SpecVersion,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"1.0",xsd:string,2023-05-25T22:11:26.170Z,,,,
InternetGatewayDevice.DeviceInfo.UpTime,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"520",xsd:unsignedInt,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.DeviceInfo.X_TP_AgileACS_Sig,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"227972278",xsd:unsignedInt,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.DeviceInfo.X_TP_ProductID,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"358220034",xsd:unsignedInt,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.DeviceSummary,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"InternetGatewayDevice:1.1[](Baseline:1, EthernetLAN:1)",xsd:string,2023-05-25T22:11:26.170Z,,,,
InternetGatewayDevice.DownloadDiagnostics,true,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"",,,,,,
InternetGatewayDevice.DownloadDiagnostics.BOMTime,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"",xsd:dateTime,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.DownloadDiagnostics.DSCP,false,2023-05-25T22:10:55.893Z,true,2023-05-25T22:10:55.893Z,"0",xsd:unsignedInt,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.DownloadDiagnostics.DiagnosticsState,false,2023-05-25T22:10:55.893Z,true,2023-05-25T22:10:55.893Z,"None",xsd:string,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.DownloadDiagnostics.DownloadDiagnosticMaxConnections,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"10",xsd:unsignedInt,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.DownloadDiagnostics.DownloadDiagnosticsMaxIncrementalResult,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"10",xsd:unsignedInt,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.DownloadDiagnostics.DownloadTransports,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"HTTP,FTP",xsd:string,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.DownloadDiagnostics.DownloadURL,false,2023-05-25T22:10:55.893Z,true,2023-05-25T22:10:55.893Z,"",xsd:string,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.DownloadDiagnostics.EOMTime,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"",xsd:dateTime,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.DownloadDiagnostics.EnablePerConnectionResults,false,2023-05-25T22:10:55.893Z,true,2023-05-25T22:10:55.893Z,"false",xsd:boolean,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.DownloadDiagnostics.EthernetPriority,false,2023-05-25T22:10:55.893Z,true,2023-05-25T22:10:55.893Z,"0",xsd:unsignedInt,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.DownloadDiagnostics.IPAddressUsed,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"",xsd:string,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.DownloadDiagnostics.IncrementalResult,true,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"",,,,,,
InternetGatewayDevice.DownloadDiagnostics.IncrementalResultNumberOfEntries,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"0",xsd:unsignedInt,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.DownloadDiagnostics.Interface,false,2023-05-25T22:10:55.893Z,true,2023-05-25T22:10:55.893Z,"",xsd:string,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.DownloadDiagnostics.NumberOfConnections,false,2023-05-25T22:10:55.893Z,true,2023-05-25T22:10:55.893Z,"1",xsd:unsignedInt,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.DownloadDiagnostics.PerConnectionResult,true,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"",,,,,,
InternetGatewayDevice.DownloadDiagnostics.PerConnectionResultNumberOfEntries,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"0",xsd:unsignedInt,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.DownloadDiagnostics.PeriodOfFullLoading,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"0",xsd:unsignedInt,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.DownloadDiagnostics.ProtocolVersion,false,2023-05-25T22:10:55.893Z,true,2023-05-25T22:10:55.893Z,"Any",xsd:string,2023-05-25T22:10:55.895Z,,,,
