Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
InternetGatewayDevice.DNS.Diagnostics.NSLookupDiagnostics.HostName,false,2023-10-06T18:17:24.528Z,true,2023-10-06T18:17:24.528Z,"",xsd:string,2023-10-06T18:07:06.113Z,,,,
InternetGatewayDevice.DNS.Diagnostics.NSLookupDiagnostics.Interface,false,2023-10-06T18:17:24.528Z,true,2023-10-06T18:17:24.528Z,"",xsd:string,2023-10-06T18:07:06.113Z,,,,
InternetGatewayDevice.DNS.Diagnostics.NSLookupDiagnostics.NumberOfRepetitions,false,2023-10-06T18:17:24.528Z,true,2023-10-06T18:17:24.528Z,"5",xsd:unsignedInt,2023-10-06T18:07:06.113Z,,,,
InternetGatewayDevice.DNS.Diagnostics.NSLookupDiagnostics.Result,true,2023-10-06T18:17:24.528Z,true,2023-10-06T18:17:24.528Z,"",,,,,,
InternetGatewayDevice.DNS.Diagnostics.NSLookupDiagnostics.ResultNumberOfEntries,false,2023-10-06T18:17:24.528Z,false,2023-10-06T18:17:24.528Z,"0",xsd:unsignedInt,2023-10-06T18:07:06.113Z,,,,
InternetGatewayDevice.DNS.Diagnostics.NSLookupDiagnostics.SuccessCount,false,2023-10-06T18:17:24.528Z,false,2023-10-06T18:17:24.528Z,"0",xsd:unsignedInt,2023-10-06T18:07:06.113Z,,,,
InternetGatewayDevice.DNS.Diagnostics.NSLookupDiagnostics.Timeout,false,2023-10-06T18:17:24.528Z,true,2023-10-06T18:17:24.528Z,"5000",xsd:unsignedInt,2023-10-06T18:07:06.113Z,,,,
InternetGatewayDevice.DeviceConfig,true,2023-10-06T18:17:24.528Z,false,2023-10-06T18:17:24.528Z,"",,,,,,
InternetGatewayDevice.DeviceConfig.ConfigFile,false,2023-10-06T18:53:01.978Z,true,2023-10-06T18:53:01.978Z,"FILE OVER SIZE",xsd:string,2023-10-06T18:53:01.980Z,,,,
InternetGatewayDevice.DeviceConfig.PersistentData,false,2023-10-06T18:53:01.978Z,true,2023-10-06T18:53:01.978Z,"CURRENT CONFIG",xsd:string,2023-10-06T18:53:01.980Z,,,,
