Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
InternetGatewayDevice.DeviceInfo.UpTime,false,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"951",xsd:unsignedInt,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.DeviceInfo.VendorConfigFile,true,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.VendorConfigFile.1,true,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.VendorConfigFile.1.Date,false,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"0001-01-01T00:00:00.000Z",xsd:dateTime,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.DeviceInfo.VendorConfigFile.1.Description,false,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"",xsd:string,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.DeviceInfo.VendorConfigFile.1.Name,false,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"config.dat",xsd:string,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.DeviceInfo.VendorConfigFile.1.Version,false,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"v3.4.14",xsd:string,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.DeviceInfo.VendorConfigFileNumberOfEntries,false,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"1",xsd:unsignedInt,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.DeviceSummary,false,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"InternetGatewayDevice:1.1[](Baseline:1,EthernetWAN:1,EthernetLAN:1,WiFiLAN:1,Time:1,IPPing:1,Download:1,DownloadTCP:1,Upload:1,UploadTCP:1,UDPEcho:1,UDPEchoPlus:1,DeviceAssociation:1,DHCPCondServing:1,DHCPOption:1)",xsd:string,2023-05-26T00:47:16.025Z,,,,
InternetGatewayDevice.DownloadDiagnostics,true,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"",,,,,,
InternetGatewayDevice.DownloadDiagnostics.BOMTime,false,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"0001-01-01T03:06:28.000Z",xsd:dateTime,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.DownloadDiagnostics.DSCP,false,2023-05-26T00:44:29.195Z,true,2023-05-26T00:44:29.195Z,"0",xsd:unsignedInt,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.DownloadDiagnostics.DiagnosticsState,false,2023-05-26T00:44:29.195Z,true,2023-05-26T00:44:29.195Z,"None",xsd:string,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.DownloadDiagnostics.DownloadURL,false,2023-05-26T00:44:29.195Z,true,2023-05-26T00:44:29.195Z,"",xsd:string,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.DownloadDiagnostics.EOMTime,false,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"0001-01-01T03:06:28.000Z",xsd:dateTime,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.DownloadDiagnostics.EthernetPriority,false,2023-05-26T00:44:29.195Z,true,2023-05-26T00:44:29.195Z,"0",xsd:unsignedInt,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.DownloadDiagnostics.Interface,false,2023-05-26T00:44:29.195Z,true,2023-05-26T00:44:29.195Z,"",xsd:string,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.DownloadDiagnostics.ROMTime,false,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"0001-01-01T03:06:28.000Z",xsd:dateTime,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.DownloadDiagnostics.TCPOpenRequestTime,false,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"0001-01-01T03:06:28.000Z",xsd:dateTime,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.DownloadDiagnostics.TCPOpenResponseTime,false,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"0001-01-01T03:06:28.000Z",xsd:dateTime,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.DownloadDiagnostics.TestBytesReceived,false,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"0",xsd:unsignedInt,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.DownloadDiagnostics.TotalBytesReceived,false,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"0",xsd:unsignedInt,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.IPPingDiagnostics,true,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"",,,,,,
InternetGatewayDevice.IPPingDiagnostics.AverageResponseTime,false,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"0",xsd:unsignedInt,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.IPPingDiagnostics.DSCP,false,2023-05-26T00:44:29.195Z,true,2023-05-26T00:44:29.195Z,"0",xsd:unsignedInt,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.IPPingDiagnostics.DataBlockSize,false,2023-05-26T00:44:29.195Z,true,2023-05-26T00:44:29.195Z,"64",xsd:unsignedInt,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.IPPingDiagnostics.DiagnosticsState,false,2023-05-26T00:44:29.195Z,true,2023-05-26T00:44:29.195Z,"None",xsd:string,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.IPPingDiagnostics.FailureCount,false,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"0",xsd:unsignedInt,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.IPPingDiagnostics.Host,false,2023-05-26T00:44:29.195Z,true,2023-05-26T00:44:29.195Z,"",xsd:string,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.IPPingDiagnostics.Interface,false,2023-05-26T00:44:29.195Z,true,2023-05-26T00:44:29.195Z,"",xsd:string,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.IPPingDiagnostics.MaximumResponseTime,false,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"0",xsd:unsignedInt,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.IPPingDiagnostics.MinimumResponseTime,false,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"0",xsd:unsignedInt,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.IPPingDiagnostics.NumberOfRepetitions,false,2023-05-26T00:44:29.195Z,true,2023-05-26T00:44:29.195Z,"1",xsd:unsignedInt,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.IPPingDiagnostics.SuccessCount,false,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"0",xsd:unsignedInt,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.IPPingDiagnostics.Timeout,false,2023-05-26T00:44:29.195Z,true,2023-05-26T00:44:29.195Z,"1000",xsd:unsignedInt,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.LANConfigSecurity,true,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"",,,,,,
InternetGatewayDevice.LANConfigSecurity.ConfigPassword,false,2023-05-26T00:44:29.195Z,true,2023-05-26T00:44:29.195Z,"",xsd:string,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.LANDevice,true,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"",,,,,,
InternetGatewayDevice.LANDevice.1,true,2023-05-26T00:47:16.024Z,false,2023-05-26T00:47:16.024Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts,true,2023-05-26T00:47:16.024Z,false,2023-05-26T00:47:16.024Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host,true,2023-05-26T00:47:16.024Z,true,2023-05-26T00:47:16.024Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.1,true,2023-05-26T00:47:16.024Z,true,2023-05-26T00:47:16.024Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.Active,false,2023-05-26T00:47:16.024Z,false,2023-05-26T00:47:16.024Z,"true",xsd:boolean,2023-05-26T00:47:16.026Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.AddressSource,false,2023-05-26T00:47:16.024Z,false,2023-05-26T00:47:16.024Z,"DHCP",xsd:string,2023-05-26T00:47:16.026Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.ClientID,false,2023-05-26T00:47:16.024Z,false,2023-05-26T00:47:16.024Z,"",xsd:string,2023-05-26T00:47:16.026Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.HostName,false,2023-05-26T00:47:16.024Z,true,2023-05-26T00:47:16.024Z,"*",xsd:string,2023-05-26T00:47:16.026Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.IPAddress,false,2023-05-26T00:47:16.024Z,true,2023-05-26T00:47:16.024Z,"10.0.0.89",xsd:string,2023-05-26T00:47:16.026Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.InterfaceType,false,2023-05-26T00:47:16.024Z,false,2023-05-26T00:47:16.024Z,"802.11",xsd:string,2023-05-26T00:47:16.026Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.Layer2Interface,false,2023-05-26T00:47:16.024Z,false,2023-05-26T00:47:16.024Z,"InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.",xsd:string,2023-05-26T00:47:16.026Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.LeaseTimeRemaining,false,2023-05-26T00:47:16.024Z,false,2023-05-26T00:47:16.024Z,"1995712256",xsd:int,2023-05-26T00:47:16.026Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.MACAddress,false,2023-05-26T00:47:16.024Z,true,2023-05-26T00:47:16.024Z,"04:b1:67:52:3b:72",xsd:string,2023-05-26T00:47:16.026Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.UserClassID,false,2023-05-26T00:47:16.024Z,false,2023-05-26T00:47:16.024Z,"",xsd:string,2023-05-26T00:47:16.026Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.VendorClassID,false,2023-05-26T00:47:16.024Z,false,2023-05-26T00:47:16.024Z,"",xsd:string,2023-05-26T00:47:16.026Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.2,true,2023-05-26T00:47:16.024Z,true,2023-05-26T00:47:16.024Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.2.Active,false,2023-05-26T00:47:16.024Z,false,2023-05-26T00:47:16.024Z,"true",xsd:boolean,2023-05-26T00:47:16.026Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.2.AddressSource,false,2023-05-26T00:47:16.024Z,false,2023-05-26T00:47:16.024Z,"DHCP",xsd:string,2023-05-26T00:47:16.026Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.2.ClientID,false,2023-05-26T00:47:16.024Z,false,2023-05-26T00:47:16.024Z,"",xsd:string,2023-05-26T00:47:16.026Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.2.HostName,false,2023-05-26T00:47:16.024Z,true,2023-05-26T00:47:16.024Z,"cassios-mac",xsd:string,2023-05-26T00:47:16.026Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.2.IPAddress,false,2023-05-26T00:47:16.024Z,true,2023-05-26T00:47:16.024Z,"10.0.0.62",xsd:string,2023-05-26T00:47:16.026Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.2.InterfaceType,false,2023-05-26T00:47:16.024Z,false,2023-05-26T00:47:16.024Z,"802.11",xsd:string,2023-05-26T00:47:16.026Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.2.Layer2Interface,false,2023-05-26T00:47:16.024Z,false,2023-05-26T00:47:16.024Z,"InternetGatewayDevice.LANDevice.1.WLANConfiguration.6.",xsd:string,2023-05-26T00:47:16.026Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.2.LeaseTimeRemaining,false,2023-05-26T00:47:16.024Z,false,2023-05-26T00:47:16.024Z,"1995712256",xsd:int,2023-05-26T00:47:16.026Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.2.MACAddress,false,2023-05-26T00:47:16.024Z,true,2023-05-26T00:47:16.024Z,"5c:f9:38:99:45:38",xsd:string,2023-05-26T00:47:16.026Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.2.UserClassID,false,2023-05-26T00:47:16.024Z,false,2023-05-26T00:47:16.024Z,"",xsd:string,2023-05-26T00:47:16.026Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.2.VendorClassID,false,2023-05-26T00:47:16.024Z,false,2023-05-26T00:47:16.024Z,"",xsd:string,2023-05-26T00:47:16.026Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.3,true,2023-05-26T00:47:16.024Z,true,2023-05-26T00:47:16.024Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.3.Active,false,2023-05-26T00:47:16.024Z,false,2023-05-26T00:47:16.024Z,"",xsd:string,2023-05-26T00:47:16.028Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.3.AddressSource,false,2023-05-26T00:47:16.024Z,false,2023-05-26T00:47:16.024Z,"",xsd:string,2023-05-26T00:47:16.028Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.3.ClientID,false,2023-05-26T00:47:16.024Z,false,2023-05-26T00:47:16.024Z,"",xsd:string,2023-05-26T00:47:16.028Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.3.HostName,false,2023-05-26T00:47:16.024Z,true,2023-05-26T00:47:16.024Z,"",xsd:string,2023-05-26T00:47:16.028Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.3.IPAddress,false,2023-05-26T00:47:16.024Z,true,2023-05-26T00:47:16.024Z,"",xsd:string,2023-05-26T00:47:16.028Z,,,,
